eps	abs_m	Cv	chi
-0.73	0.72	0	0
-0.88	0.675	0.0225	0.00050625
-0.983333	0.61	0.0363556	0.00245
-1.0925	0.5275	0.0630187	0.00694219
-1.168	0.476	0.073216	0.008206
-1.22667	0.45	0.0782222	0.00768333
-1.27714	0.434286	0.0823347	0.00695612
-1.31875	0.42375	0.0841609	0.00628086
-1.35333	0.411111	0.0843778	0.00590247
-1.383	0.393	0.083861	0.00605025
-1.41091	0.38	0.0840264	0.00592273
-1.43417	0.365	0.0829743	0.00604792
-1.45462	0.348462	0.0816095	0.00640325
-1.47286	0.332143	0.0801061	0.00681135
-1.49	0.316	0.07888	0.00726933
-1.50562	0.304375	0.0776121	0.00732178
-1.51941	0.290588	0.0760879	0.00765138
-1.53167	0.273889	0.0744139	0.0084115
-1.54316	0.256316	0.0728742	0.00935845
-1.554	0.238	0.071464	0.010484
-1.56381	0.22	0.0699855	0.0116048
-1.57273	0.202273	0.0684744	0.0127271
-1.58087	0.185217	0.0669558	0.0137736
-1.58875	0.16875	0.0655943	0.014759
-1.5964	0.152	0.064375	0.015852
-1.60308	0.133077	0.0630136	0.0174803
-1.61037	0.116667	0.0620628	0.0185833
-1.61714	0.0992857	0.0610847	0.0199588
-1.6231	0.0827586	0.0599731	0.0211826
-1.62933	0.066	0.0590996	0.0225127
-1.63581	0.0483871	0.0584502	0.0241131
-1.64219	0.029375	0.0578858	0.0261608
-1.64848	0.010303	0.0574007	0.028278
-1.655	0.00970588	0.0571132	0.0307492
-1.66114	0.0282857	0.0567644	0.032805
-1.66694	0.0461111	0.0563657	0.034674
-1.67243	0.062973	0.0559265	0.0362958
-1.67789	0.08	0.0555587	0.0380224
-1.68282	0.0964103	0.0550561	0.0396058
-1.68725	0.114	0.0544449	0.0416323
-1.69244	0.131463	0.0541941	0.0436665
-1.69762	0.148333	0.0540039	0.0455439
-1.70256	0.164884	0.0537725	0.0473609
-1.7075	0.181364	0.0536006	0.0492041
-1.71267	0.197778	0.053584	0.0510743
-1.71804	0.214565	0.0537201	0.0531345
-1.72362	0.231064	0.0540061	0.0551343
-1.72896	0.246875	0.0542218	0.0569231
-1.73408	0.262041	0.0543752	0.0585214
-1.7394	0.2768	0.0546736	0.0600194
-1.74451	0.29098	0.0549071	0.0613561
-1.74942	0.304615	0.0550824	0.0625466
-1.75415	0.317736	0.0552054	0.0636044
-1.7587	0.33037	0.0552817	0.0645416
-1.76309	0.342545	0.0553159	0.0653693
-1.76732	0.354286	0.0553125	0.0660972
-1.7714	0.365614	0.0552752	0.0667342
-1.77534	0.376552	0.0552076	0.0672884
-1.77915	0.387119	0.0551128	0.067767
-1.78283	0.397333	0.0549936	0.0681766
-1.78639	0.407213	0.0548526	0.0685231
-1.78952	0.416613	0.0545627	0.0687653
-1.79254	0.425714	0.0542634	0.0689577
-1.79578	0.434687	0.0540775	0.0691484
-1.79892	0.443385	0.0538773	0.0692948
-1.80197	0.451818	0.0536643	0.0694007
-1.80493	0.46	0.0534399	0.0694694
-1.80779	0.467941	0.0532054	0.0695041
-1.81058	0.475652	0.052962	0.0695076
-1.81329	0.483143	0.0527106	0.0694825
-1.81592	0.490423	0.0524523	0.0694313
-1.81847	0.4975	0.0521879	0.0693561
-1.82096	0.504384	0.0519183	0.0692589
-1.82338	0.511081	0.051644	0.0691416
-1.82573	0.5176	0.0513658	0.0690059
-1.82803	0.523947	0.0510843	0.0688533
-1.83	0.53	0.0507169	0.0686552
-1.83218	0.536026	0.0504324	0.0684739
-1.8343	0.541899	0.050146	0.0682798
