eps	abs_m	Cv	chi
-1.75418	0.838936	0.00648958	0.00115131
-1.7543	0.839014	0.00644563	0.00114342
-1.75503	0.83958	0.00647815	0.00114681
-1.75563	0.840069	0.00648294	0.00114739
-1.75545	0.840138	0.00644273	0.00113965
-1.75575	0.840411	0.0064121	0.00113455
-1.75571	0.840408	0.00636871	0.00112683
-1.75574	0.840135	0.0063258	0.00112195
-1.75584	0.84	0.0062847	0.0011151
-1.75607	0.839933	0.00625053	0.00110783
-1.75616	0.840132	0.00621041	0.00110198
-1.75658	0.840329	0.00619619	0.00109619
-1.75634	0.840196	0.00616438	0.0010897
-1.75604	0.84013	0.00613821	0.00108279
-1.75555	0.84	0.00613567	0.00107645
-1.7559	0.840321	0.00611522	0.00107353
-1.75573	0.840318	0.00608051	0.00106669
-1.75608	0.840633	0.00606055	0.00106382
-1.7566	0.840943	0.00606645	0.00106094
-1.75706	0.841125	0.006062	0.00105562
-1.75708	0.84118	0.0060244	0.00104919
-1.75605	0.840432	0.00615847	0.00106523
-1.75564	0.839755	0.00614728	0.00107729
-1.75506	0.839085	0.00616524	0.00108897
-1.75442	0.838485	0.00619437	0.00109715
-1.75392	0.837952	0.00619973	0.00110226
-1.75329	0.837246	0.00622688	0.00111637
-1.75357	0.837321	0.00620272	0.00110996
-1.75349	0.837396	0.0061671	0.00110363
-1.75347	0.837588	0.0061309	0.00109869
-1.75374	0.837661	0.00610763	0.00109249
-1.75448	0.838198	0.00616426	0.00109846
-1.75549	0.838902	0.00630568	0.00111343
-1.75644	0.839598	0.00642409	0.00112798
-1.7568	0.839943	0.00641033	0.00112671
-1.75665	0.839886	0.00637797	0.00112045
-1.75667	0.839887	0.006342	0.00111412
-1.75674	0.839944	0.00630736	0.001108
-1.75659	0.839888	0.0062761	0.00110195
-1.75656	0.839833	0.00624147	0.00109597
-1.75652	0.839779	0.00620722	0.00109004
-1.75632	0.83967	0.0061804	0.00108459
-1.75645	0.839672	0.00614968	0.00107866
-1.75658	0.839565	0.00611926	0.00107332
-1.75638	0.839297	0.00609337	0.00107082
-1.75629	0.839301	0.00606204	0.00106507
-1.75626	0.839198	0.00602984	0.00105987
-1.75612	0.838989	0.00600141	0.00105626
-1.75534	0.838519	0.00608202	0.00106109
-1.75458	0.837842	0.00616061	0.00107713
-1.75455	0.837749	0.00612847	0.0010719
-1.75375	0.837135	0.00622031	0.00108428
-1.75316	0.836736	0.00625478	0.00108633
-1.75304	0.836649	0.00622529	0.00108109
-1.75262	0.83641	0.00622854	0.00107832
-1.7523	0.836173	0.00621667	0.00107555
-1.75239	0.836244	0.00618669	0.00107033
-1.75273	0.836465	0.00617842	0.00106733
-1.75296	0.836734	0.00615855	0.00106555
-1.7528	0.8367	0.00613316	0.00106028
-1.75279	0.836468	0.00610269	0.0010577
-1.75272	0.836139	0.00607328	0.00105791
-1.75261	0.835665	0.00604589	0.00106402
-1.75225	0.834902	0.00604197	0.00108836
-1.75185	0.834244	0.00604534	0.00110513
-1.75199	0.834417	0.00601983	0.00110131
-1.75217	0.834589	0.00599769	0.00109751
-1.75264	0.835	0.00601464	0.00110096
-1.75249	0.834976	0.00599094	0.00109572
-1.75176	0.834381	0.00607261	0.00110901
-1.75128	0.833744	0.00609268	0.00112505
-1.75099	0.833443	0.00608157	0.00112451
-1.75042	0.833192	0.00612142	0.00112257
-1.74977	0.832897	0.00618452	0.00112197
-1.74991	0.83307	0.00615999	0.00111834
-1.74963	0.832963	0.00614801	0.00111378
-1.74982	0.833226	0.00612715	0.00111238
-1.74936	0.833073	0.00614454	0.00110853
-1.74918	0.832968	0.00612353	0.00110408
-1.74923	0.832955	0.00609622	0.00109907
-1.74919	0.833032	0.00606902	0.00109442
-1.74905	0.832793	0.0060455	0.00109264
-1.74888	0.832377	0.0060252	0.00109735
-1.74879	0.832054	0.00599989	0.00109828
-1.7484	0.831689	0.00600811	0.00110084
-1.74819	0.831195	0.00599184	0.00110971
-1.74815	0.830969	0.00596574	0.00110769
-1.74825	0.830877	0.00594166	0.00110332
-1.7483	0.830917	0.00591631	0.00109859
-1.7483	0.830826	0.0058906	0.00109429
-1.74831	0.830779	0.00586511	0.00108968
-1.74836	0.83069	0.00584042	0.00108544
-1.74824	0.830644	0.00581879	0.0010809
-1.74838	0.830769	0.00579822	0.0010772
-1.74847	0.830809	0.00577553	0.00107271
-1.74864	0.83089	0.00575833	0.00106855
-1.74869	0.830928	0.00573458	0.00106413
-1.74853	0.830882	0.00571674	0.00105978
-1.74824	0.830795	0.00571239	0.0010558
-1.74825	0.830833	0.0056886	0.00105149
-1.74838	0.830996	0.00566917	0.00104871
-1.74843	0.831116	0.00564629	0.00104525
-1.74811	0.830905	0.00564827	0.00104362
-1.74746	0.830451	0.00572715	0.0010519
-1.74657	0.829714	0.005896	0.00108069
-1.74646	0.829553	0.00587489	0.0010779
-1.74656	0.829271	0.00585334	0.00107841
-1.74613	0.829073	0.00587534	0.0010765
-1.74574	0.828795	0.00588871	0.00107695
-1.7458	0.82888	0.00586596	0.00107309
-1.74614	0.829124	0.00587072	0.00107252
-1.74611	0.829127	0.00584757	0.00106826
-1.74605	0.82913	0.00582548	0.00106404
-1.74654	0.829449	0.0058628	0.00106626
-1.74667	0.829647	0.00584418	0.00106458
-1.74676	0.829805	0.00582347	0.001062
-1.74685	0.829961	0.00580291	0.00105944
-1.74702	0.830194	0.0057876	0.00105881
-1.74676	0.830077	0.00578253	0.0010556
-1.74658	0.830115	0.00576867	0.00105163
-1.74628	0.829962	0.00576895	0.00104914
-1.74611	0.829809	0.00575507	0.00104665
-1.74612	0.829658	0.00573325	0.00104417
-1.74614	0.829583	0.00571159	0.00104058
-1.74589	0.829434	0.00570648	0.00103813
-1.74545	0.829173	0.00573532	0.00103874
-1.74517	0.829064	0.00573508	0.00103564
-1.74481	0.828843	0.00574735	0.00103502
-1.74476	0.828848	0.0057268	0.00103117
-1.74489	0.828926	0.00571017	0.00102777
-1.74476	0.828708	0.00569358	0.00102717
-1.74471	0.828493	0.00567344	0.00102655
-1.74469	0.828242	0.00565274	0.00102707
-1.74427	0.82781	0.00567994	0.00103603
-1.74415	0.827745	0.00566354	0.00103255
-1.74406	0.827572	0.00564513	0.00103086
-1.74422	0.827653	0.00563234	0.00102759
-1.7445	0.827806	0.00563266	0.0010255
-1.7447	0.827921	0.00562347	0.00102275
-1.74471	0.827929	0.00560349	0.00101911
-1.74459	0.827936	0.00558782	0.00101548
-1.74394	0.827447	0.00568841	0.00102869
-1.74378	0.827279	0.0056751	0.00102704
-1.74391	0.827394	0.00565972	0.00102436
-1.74407	0.827544	0.00564729	0.00102235
-1.74399	0.827587	0.00562957	0.00101891
-1.74411	0.827735	0.00561445	0.00101692
-1.74385	0.827604	0.00561396	0.00101462
-1.74394	0.827647	0.0055969	0.00101125
-1.74379	0.827517	0.00558423	0.00100898
-1.74368	0.827285	0.00556895	0.00100941
-1.74363	0.827089	0.00555052	0.00100875
-1.74348	0.82686	0.00553805	0.00100914
-1.7435	0.826837	0.00551936	0.00100575
-1.74349	0.826814	0.00550069	0.00100238
-1.74334	0.826723	0.00548848	0.000999596
-1.74327	0.826667	0.00547182	0.000996465
-1.74319	0.826644	0.00545527	0.000993158
-1.74358	0.826923	0.00548251	0.000995626
-1.7441	0.827333	0.00554552	0.00100489
-1.74442	0.827641	0.00555755	0.00100866
-1.74417	0.82745	0.00555743	0.00100806
-1.74442	0.827558	0.005558	0.0010056
-1.7447	0.827829	0.00556373	0.00100787
-1.74495	0.828033	0.00556401	0.00100772
-1.74497	0.827974	0.00554591	0.00100469
-1.74476	0.827785	0.00554155	0.00100415
-1.74477	0.827727	0.00552365	0.00100114
-1.74479	0.827508	0.00550586	0.0010016
-1.74487	0.827548	0.00549014	0.000998497
-1.74495	0.827653	0.00547452	0.000996131
-1.74455	0.8275	0.00550685	0.000994752
-1.74419	0.827284	0.00553105	0.000995201
-1.74401	0.826943	0.00552275	0.00100117
-1.7441	0.826825	0.00550736	0.000999068
-1.74421	0.826899	0.00549399	0.00099633
-1.74454	0.827098	0.00551186	0.000996317
-1.74494	0.82739	0.00554386	0.000999948
-1.7453	0.827649	0.00556786	0.00100214
-1.74569	0.827969	0.0055989	0.00100717
-1.74558	0.827944	0.00558542	0.00100408
-1.74578	0.828137	0.00558092	0.00100395
-1.74594	0.828235	0.00557272	0.00100162
-1.74599	0.828117	0.00555612	0.000999654
-1.74615	0.828123	0.00554798	0.000996581
-1.7462	0.828252	0.00553154	0.000994865
-1.74627	0.828318	0.00551636	0.000992183
-1.7461	0.828232	0.00550916	0.000989767
-1.74578	0.827872	0.00552653	0.000997349
-1.74561	0.827515	0.00551918	0.00100482
-1.74541	0.827462	0.00551547	0.00100202
-1.74566	0.827711	0.00552034	0.00100411
-1.74583	0.827838	0.00551261	0.00100243
-1.74596	0.827964	0.00550193	0.00100076
-1.74588	0.828	0.00548751	0.000997881
-1.7458	0.827857	0.00547316	0.00099662
-1.74552	0.827537	0.00548408	0.00100227
-1.74541	0.827544	0.00547157	0.000999306
-1.74531	0.827493	0.00545912	0.000996585
-1.74515	0.827382	0.00545204	0.000994684
-1.74522	0.827361	0.00543785	0.000991807
-1.74535	0.827544	0.0054278	0.000991767
-1.74545	0.827697	0.00541547	0.000990875
-1.74544	0.827703	0.00539981	0.000987998
-1.74528	0.827594	0.00539304	0.000986162
-1.7452	0.827601	0.00537929	0.000983316
-1.74545	0.82781	0.00538445	0.000984247
-1.74555	0.82796	0.0053724	0.00098337
-1.74576	0.828109	0.00537285	0.000982487
-1.7458	0.828086	0.00535807	0.000979727
-1.74587	0.828177	0.00534447	0.000977659
-1.7458	0.828153	0.00533119	0.000974929
-1.74575	0.828215	0.00531679	0.000972504
-1.74585	0.828362	0.00530507	0.000971645
-1.74614	0.82862	0.0053206	0.000974805
-1.74649	0.828904	0.00534863	0.000979265
-1.74681	0.829104	0.00536963	0.000980051
-1.74729	0.829413	0.00543819	0.000985878
-1.74758	0.829666	0.00545234	0.00098883
-1.74778	0.829861	0.00545173	0.000989509
-1.74776	0.829834	0.00543679	0.000986835
-1.74773	0.829834	0.00542194	0.000984109
-1.74802	0.830055	0.00543574	0.000985812
-1.74813	0.830192	0.00542563	0.000984812
-1.7483	0.830356	0.00542122	0.000984557
-1.74866	0.830656	0.00545367	0.000990056
-1.74896	0.830899	0.0054725	0.000992782
-1.74902	0.830978	0.00545883	0.000990657
-1.74892	0.831003	0.00544815	0.000988028
-1.749	0.830919	0.00543603	0.000986005
-1.74892	0.830889	0.00542364	0.000983428
-1.74884	0.830806	0.0054113	0.000981423
-1.74869	0.830697	0.00540605	0.000979905
-1.74856	0.830588	0.00539792	0.000978389
-1.74851	0.830533	0.00538444	0.000976062
-1.7484	0.830452	0.00537405	0.000974085
-1.74841	0.830371	0.0053598	0.000972114
-1.74833	0.830185	0.00534775	0.000972809
-1.74818	0.829868	0.0053426	0.000979745
-1.74763	0.829132	0.00544229	0.00102856
-1.74711	0.828478	0.00553025	0.00106648
-1.74649	0.827539	0.00566256	0.00114757
-1.74614	0.826919	0.00569629	0.00118131
-1.74565	0.826328	0.00577145	0.00121167
-1.7454	0.825818	0.00578016	0.00123349
-1.74477	0.824845	0.0059208	0.00132153
-1.74426	0.823876	0.00600327	0.00140865
-1.74366	0.822835	0.00612887	0.00150985
-1.74316	0.821517	0.00620928	0.00167455
-1.74282	0.820359	0.00623871	0.00180061
-1.74263	0.819258	0.00623628	0.00191412
-1.7423	0.818087	0.00626514	0.00204341
-1.74198	0.817176	0.00628715	0.00211957
-1.7416	0.816345	0.00632968	0.00218194
-1.74086	0.81557	0.00652837	0.00223566
-1.74056	0.815076	0.00654868	0.0022541
-1.7403	0.814408	0.00655759	0.00229256
-1.73997	0.81392	0.00658367	0.00231048
-1.7394	0.813208	0.00669939	0.00235507
-1.73875	0.81235	0.00685044	0.00242262
-1.738	0.811571	0.00705537	0.00247725
-1.73746	0.811045	0.00715575	0.00249886
-1.73697	0.810596	0.00723451	0.00251294
-1.73656	0.810173	0.00728544	0.00252468
-1.73622	0.809753	0.00731338	0.00253628
-1.73596	0.809483	0.00732309	0.00253743
-1.73572	0.809066	0.00732767	0.0025488
-1.73534	0.808554	0.007369	0.00256927
-1.73504	0.807995	0.0073893	0.00259484
-1.73466	0.80722	0.00742976	0.00265002
-1.73428	0.806569	0.00746974	0.0026869
-1.73415	0.806068	0.00745874	0.00270621
-1.73412	0.805569	0.00744117	0.0027253
-1.73408	0.805097	0.00742367	0.00274175
-1.73369	0.804386	0.0074705	0.00278748
-1.73313	0.803846	0.0075835	0.00281097
-1.73266	0.803453	0.00765455	0.00282028
-1.73249	0.803182	0.00764883	0.00282121
-1.73236	0.802983	0.00763714	0.0028186
-1.73245	0.802857	0.00762232	0.00281355
-1.73226	0.802755	0.00762032	0.00280796
-1.7319	0.802536	0.00765707	0.00280639
-1.7318	0.802435	0.00764311	0.00280082
