eps	abs_m	Cv	chi
-0.57	0.78	0	0
-0.7	0.65	0.00293403	0.00176042
-0.713333	0.596667	0.00201775	0.0017662
-0.7475	0.5575	0.00212131	0.00180404
-0.774	0.546	0.00218472	0.00149833
-0.825	0.498333	0.00407841	0.002432
-0.851429	0.482857	0.00422336	0.00223427
-0.87125	0.47875	0.00417291	0.00196729
-0.89	0.456667	0.00419753	0.00215509
-0.91	0.442	0.00440278	0.00214125
-0.916364	0.420909	0.00407283	0.00240995
-0.933333	0.4025	0.00428337	0.00259744
-0.956154	0.370769	0.00503883	0.00365619
-0.972857	0.344286	0.0053086	0.00434481
-0.996	0.313333	0.00625648	0.00545231
-1.02313	0.28125	0.00778151	0.00671989
-1.04176	0.254706	0.00828888	0.00749892
-1.05889	0.233889	0.00869384	0.0078497
-1.07211	0.216842	0.00878213	0.00798142
-1.0885	0.202	0.00922964	0.00801833
-1.1	0.187619	0.00924934	0.00806737
-1.11045	0.173636	0.00922739	0.00812836
-1.11826	0.166087	0.00905896	0.00790556
-1.12333	0.158333	0.00878424	0.0077202
-1.1292	0.152	0.00857628	0.00751167
-1.13231	0.150385	0.00828834	0.00722955
-1.13222	0.145556	0.0079814	0.00702495
-1.13643	0.133571	0.00777928	0.00717799
-1.14034	0.123448	0.00758559	0.00722936
-1.148	0.110333	0.00762778	0.00750797
-1.16032	0.0925806	0.00817258	0.00825065
-1.16281	0.085	0.00795056	0.00817839
-1.16485	0.0790909	0.00773266	0.00804695
-1.16941	0.0705882	0.00762453	0.00805879
-1.16943	0.0677143	0.00740669	0.00785779
-1.17028	0.0647222	0.00720533	0.00767216
-1.16595	0.0654054	0.00712787	0.00746655
-1.16079	0.0642105	0.00711109	0.00727557
-1.15846	0.0669231	0.00696451	0.00711814
-1.1585	0.0675	0.00679041	0.00694154
-1.1578	0.0729268	0.00662814	0.00689494
-1.15548	0.0821429	0.00650893	0.00709352
-1.15279	0.0888372	0.00641015	0.00712462
-1.14795	0.0984091	0.00643906	0.00737308
-1.14511	0.111333	0.00635773	0.00797481
-1.14239	0.124783	0.00627731	0.00864934
-1.14064	0.138511	0.0061683	0.00936834
-1.13875	0.151875	0.00606888	0.0100476
-1.13857	0.161837	0.00594529	0.0103387
-1.1398	0.1734	0.00583923	0.0108144
-1.1398	0.181961	0.00572473	0.0109841
-1.13981	0.189423	0.00561464	0.0110687
-1.14094	0.196604	0.00552035	0.0111391
-1.1413	0.199815	0.00541927	0.0109898
-1.14073	0.205273	0.00532377	0.0109575
-1.14071	0.212143	0.00522871	0.0110323
-1.14035	0.217544	0.00513826	0.0110089
-1.14086	0.223448	0.00505225	0.0110261
-1.14085	0.231525	0.00496662	0.0112333
-1.14233	0.232667	0.00490646	0.0110541
-1.14393	0.231639	0.00485273	0.0108795
